Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
Planta baja con calefacción en  Barcelona Capital ,285.000 €, 10.000 €,1 hab.,1 baño,60 m²,barcelona
"Piso con balcón en Avinyo,  Barcelona Capital ",495.000 €, 55.000 €,2 habs.,1 baño,110 m²,barcelona
Piso con balcón en  Barcelona Capital ,470.000 €,-,2 habs.,2 baños,80 m²,barcelona
Piso con balcón en Cerdanyola del Vallès ,209.000 €, 16.000 €,4 habs.,2 baños,108 m²,barcelona
Apartamento con balcón en  Barcelona Capital ,895.000 €,-,5 habs.,2 baños,173 m²,barcelona
"Piso con terraza en Clotet de, L'Hospitalet de Llobregat ",179.000 €, 6.000 €,3 habs.,1 baño,70 m²,barcelona
Piso con ascensor en  Barcelona Capital ,335.000 €, 40.000 €,2 habs.,1 baño,83 m²,barcelona
"Piso con ascensor en De Vallmajor,  Barcelona Capital ",2.190.000 €,-,7 habs.,4 baños,358 m²,barcelona
Piso con balcón en  Barcelona Capital ,645.000 €,-,2 habs.,2 baños,76 m²,barcelona
Piso con terraza en  Barcelona Capital ,1.050.000 €,-,5 habs.,2 baños,144 m²,barcelona
Piso con terraza en  Barcelona Capital ,995.000 €,-,4 habs.,2 baños,141 m²,barcelona
Loft con terraza en  Barcelona Capital ,310.000 €, 25.000 €,1 hab.,1 baño,105 m²,barcelona
Casa o chalet con terraza en Sant Cugat del Vallès ,395.000 €,-,4 habs.,2 baños,160 m²,barcelona
"Piso con terraza en Carrer de Raset,  Barcelona Capital ",2.290.000 €,-,5 habs.,5 baños,358 m²,barcelona
"Piso con 1 baño en Churruca, L'Hospitalet de Llobregat ",120.000 €, 7.000 €,3 habs.,1 baño,59 m²,barcelona
Casa adosada con terraza en Sant Cugat del Vallès ,698.000 €,-,3 habs.,3 baños,120 m²,barcelona
Casa o chalet con terraza en Sabadell ,498.500 €, 31.500 €,4 habs.,4 baños,227 m²,barcelona
Casa adosada con terraza en El Masnou ,635.000 €,-,4 habs.,3 baños,227 m²,barcelona
Piso con balcón en  Barcelona Capital ,460.000 €,-,3 habs.,2 baños,113 m²,barcelona
"Piso en Carrer Flassaders, 42,  Barcelona Capital ",595.000 €,-,5 habs.,1 baño,162 m²,barcelona
"Piso en Carrer de València, 197,  Barcelona Capital ",1.300.000 €,-,4 habs.,3 baños,207 m²,barcelona
"Piso en Carrer de València, 197,  Barcelona Capital ",1.300.000 €,-,4 habs.,3 baños,207 m²,barcelona
"Piso en Carrer de Ribes, 103,  Barcelona Capital ",258.000 €,-,2 habs.,1 baño,45 m²,barcelona
"Piso en Bailen, 58,  Barcelona Capital ",385.000 €, 10.000 €,3 habs.,2 baños,86 m²,barcelona
